code,name,base_mm,size,pack,release,file_name,variants
P0039,Hellbreaker,25,Medium,S1P1,May 2026,P0039_Hellbreaker_S1P1,
P0040,Leukodaemon,50,Large,WP2,May 2026,P0040_Leukodaemon_WP2,
P0041,Rekhep Archon,50,Large,WP2,May 2026,P0041_Rekhep_Archon_WP2,
P0042,Vidileth Alghollthu,50,Large,WP2,May 2026,P0042_Vidileth_WP2,
P0043,Brastlewark Snarecrafter,25,Small,S1P3,June 2026,P0043_Brastlewark_Snarecrafter_S1P3,
P0044,Order of the Gate Hellknight,25,Medium,S1P3,June 2026,P0044_Order_of_the_Gate_Hellknight_S1P3,3
P0045,Twilight Talon,25,Medium,S1P3,June 2026,P0045_Twilight_Talon_S1P3,
P0046,Skeletal Hellknight Bonesinger,25,Medium,S1P3,June 2026,P0046_Skeletal_Hellknight_Bonesinger_S1P3,
P0047,Strix,25,Medium,S1P3,June 2026,P0047_Strix_S1P3,3
P0048,Nessari (Tyrant Devil),50,Large,S1P3,June 2026,P0048_Nessari_Tyrant_Devil_S1P3,
P0049,Abrogail Adamant,75,Huge,S1PB,June 2026,P0049_Abrogail Adamant_S1PB,
P0050,Abrogail Thrune,25,Medium,S1PB,June 2026,P0050_Abrogail Thrune_S1PB,
P0055,"Fumbus, Iconic Alchemist",25,Small,WP4,July2026,P0055_Alchemist_Fumbus_WP4,
P0056,"Amiri, Iconic Barbarian",25,Medium,WP4,July2026,P0056_Barbarian_Amiri_WP4,
P0057,"Seelah, Iconic Paladin",25,Medium,WP4,July2026,P0057_Champion_Seelah_WP4,
P0058,"Quinn, Iconic Investigator",25,Medium,WP4,July2026,P0058_Investigator_Quinn_WP4,
P0059,Horned Dragon,50,Large,WP4,July2026,P0059_Horned_Dragon_WP4,
P0060,Vrolikai Demon,50,Large,WP4,July2026,P0060_Vrolikai_Demon_WP4,
P0061,Goblin Pyro,25,Small,WP4,July2026,P0061_Goblin_Pyro_WP4,
P0062,Goblin Warrior,25,Small,WP4,July2026,P0062_Goblin_Warrior_WP4,
P0063,Goblin Commando,25,Small,WP4,July2026,P0063_Goblin_Commando_WP4,
P0064,Goblin Chanter,25,Small,WP4,July2026,P0064_Goblin_Chanter_WP4,
P0082,Bosun,25,Medium,S2P1,July 2026,P0082_Bosun_S2P1,3
P0083,Marine Marauder,25,Small,S2P1,July 2026,P0083_Marine_Marauder_S2P1,
P0084,Ocean Nomad,25,Medium,S2P1,July 2026,P0084_Ocean_Nomad_S2P1,
P0085,Grindylow,25,Small,S2P1,July 2026,P0085_Grindylow_S2P1,3
P0086,Sea Hag,25,Medium,S2P1,July 2026,P0086_Sea_Hag_S2P1,
P0087,Sargassum Heap,50,Large,S2P1,July 2026,P0087_Sargassum_Heap_S2P1,
P0088,Cheliax Marine,25,Medium,S2P2,August 2026,P0088_Cheliax_Marine_S2P2,3
P0089,Cheliax Naval Officer,25,Medium,S2P2,August 2026,P0089_Cheliax_Naval_Officer_S2P2,
P0090,Cheliax Naval Captain,25,Medium,S2P2,August 2026,P0090_Cheliax_Naval_Captain_S2P2,
P0091,Deep One,25,Medium,S2P2,August 2026,P0091_Deep_One_S2P2,3
P0092,Flotsam Terror,25,Small,S2P2,August 2026,P0092_Flotsam_Terror_S2P2,
P0093,Living Waterfall,50,Large,S2P2,August 2026,P0093_Living_Waterfall_S2P2,
